type,n,m,seed,generator_timestamp,test_timestamp,relaxation,time
maxnorm,2,8,50,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0018038749694824
maxnorm,2,8,51,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0013959407806396
maxnorm,2,8,52,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0016798973083496
maxnorm,2,8,53,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0014948844909667
maxnorm,2,8,54,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0018799304962158
maxnorm,2,8,55,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0015289783477783
maxnorm,2,8,56,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0013649463653564
maxnorm,2,8,57,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0013258457183837
maxnorm,2,8,58,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0017600059509277
maxnorm,2,8,59,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0018291473388671
maxnorm,2,8,60,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0017130374908447
maxnorm,2,8,61,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0016348361968994
maxnorm,2,8,62,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0013070106506347
maxnorm,2,8,63,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0017640590667724
maxnorm,2,8,64,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0016560554504394
maxnorm,2,8,65,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0018918514251708
maxnorm,2,8,66,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0014638900756835
maxnorm,2,8,67,2023-10-26 00:02:46,2023-10-28 00:34:54,beta,0.0018880367279052
maxnorm,2,8,68,2023-10-26 00:02:46,2023-10-28 00:34:55,beta,0.0013599395751953
maxnorm,2,8,69,2023-10-26 00:02:46,2023-10-28 00:34:55,beta,0.0017580986022949
maxnorm,2,8,70,2023-10-26 00:02:46,2023-10-28 00:34:55,beta,0.0016570091247558
maxnorm,2,8,71,2023-10-26 00:02:46,2023-10-28 00:34:55,beta,0.0018448829650878
maxnorm,2,8,72,2023-10-26 00:02:46,2023-10-28 00:34:55,beta,0.0012478828430175
maxnorm,2,8,73,2023-10-26 00:02:46,2023-10-28 00:34:55,beta,0.0019400119781494
maxnorm,2,8,74,2023-10-26 00:02:46,2023-10-28 00:34:55,beta,0.0016632080078125
maxnorm,2,8,75,2023-10-26 00:02:46,2023-10-28 00:34:55,beta,0.0017077922821044
